Id appearances modularity_class
bolsonaronoprimeiroturno2022 1272 9
luladrãonacadeia 1183 9
portalr7 1227 14
r7 3950 14
brasileiro 5658 1
futuro 1391 1
psol 2516 7
lulaeoptporvidasesonhos 12014 7
tse 16259 1
lulanão 3962 9
censuradostf 1957 9
lulaprimeiroturno 2427 7
lulaladraoteulugarenaprisao 1649 9
folha 8184 14
eleiçoes2022 99314 1
nordeste 40163 0
deusacimadetudo 1589 1
janja 3328 7
lulalivre 3370 7
lulapelobrasil 3433 7
rjtv 16897 0
urgente 3471 1
sosbrasil 23497 1
cultura 1218 1
ptpcc 1136 9
bolsonaropresidente 43235 9
patriotas 8208 1
foraalexandredemoraes 4037 1
motociata 1957 9
compartilhe 1278 1
mulheres 1918 1
rj 3581 1
ejairoujaera 20388 9
bolsonarotemrazão 38866 9
justiça 2510 1
colombia 2478 1
binance 1192 6
mito22 1211 9
bolsonaropresidente2022 14935 9
contra 2000 1
da 1151 1
marchaparajesus 1635 1
michellebolsonaro 2841 9
ciroounulo 2045 3
lgbt 1857 7
lgbtq 1605 7
esquerdalhasnuncamais 10315 9
de 2493 1
votonulo 7583 15
jornalnacional 16892 14
f1 7828 14
f1naband 2916 14
fia 6314 14
teamlh 1399 14
instagram 2505 7
god 1068 1
rt 2155 1
lulaladrãonacadeia 2806 9
alckiminnuncamais 9353 9
psdbnuncamais 9226 9
brasilia 6143 1
alagoas 4183 16
google 1161 1
ブラジル 2363 1
foraluladrao 1460 1
tvcultura 1608 1
intervencaofederalja 8228 1
deus 11663 1
internet 1556 7
twitter 3001 1
belém 2938 16
campinas 1002 1
olinda 1307 1
petrolina 2414 16
saopaulo 28005 1
youtube 1597 1
timedelula 4007 7
deuspatriafamilialiberdade 10214 9
lulabrasil 1191 7
fechadocomciro 1807 3
somos1300 63791 5
éjairoujáera 1222 9
aprovadospf2021 1423 5
geraldoalckmin 1750 7
gop 2991 12
texas 1317 1
amigos 2217 9
jair 8881 1
censorship 1426 1
fantástico 1394 14
aumentodecargosjá 2813 5
bolsonaro2022reeleito 1155 9
barrosonacadeia 22996 9
lulapresidentedobrasil 1151 7
lula13noprimeiroturno 9913 7
fortaleza 3447 1
curitiba 1148 1
deputadofederal 3312 1
cubaporlapaz 1698 7
conservador 2741 1
direita 7690 1
foracomunismo 1034 9
l 1047 7
foralulaladrao 6530 1
ptcc 1888 9
vote13 75591 7
cadeia 2559 1
que 2565 1
amor 6382 1
pr 14906 0
forabolsonarogenocida 12218 7
brasile 3393 1
janones 3478 1
novo 1429 1
tebet 3211 1
forabolsonarocorrupto 10142 7
lulaeoptreconstruirobrasil 9321 7
morosenador2022 1137 14
rs 16366 0
oi 1654 14
soraya 1352 1
pix 1186 1
natal 2492 14
direitaunida 10428 14
fraude 13753 1
belohorizonte 4485 1
bh 16392 0
japan 2156 1
china 1529 1
lulalixo 2650 9
semmedodeserfeliz 12614 7
dolar 1173 1
racismo 7753 13
eletrobraspública 19130 7
petrolão 1015 9
forafascismo 23637 7
vida 2677 1
bíblia 2184 1
boicoteaopsd55 11957 9
policia 1061 1
sbtbrasil 2169 14
corinthians 3944 11
bomdia 3845 14
bandjornalismo 4959 14
jornaldaband 2436 14
nft 1534 6
poderpopular 1348 2
impeachmentdealexandredemoraes 1127 9
eleicao 2079 1
love 2901 7
democraciasempre 3813 1
ditaduranuncamais 13707 7
mei 1454 9
somostodosbolsonaro 13813 9
sãopaulo 30319 1
morningshow 2150 14
naovotenodem 1335 9
hipócritas 1417 1
df 1730 1
ahora 1251 1
lulagenocida 7416 9
osasco 1187 1
timelula 1729 7
decreto65021 2479 1
pdl22 2383 1
aborto 1145 7
sus 1034 1
psb 2164 7
riograndedosul 3066 0
mg 3406 1
minasgerais 43032 0
direitos 1621 7
eleição 3204 1
venezuela 5768 7
bandnewstv 4589 14
rodaviva 2218 3
ceara 4266 14
assinapresidente 3115 5
br 2784 1
escritora 1005 1
país 1797 1
convocatodospfeprf 35820 5
naoaodecreto9739 47501 5
bdsp 7935 0
sp2 8420 0
biblia 1088 1
educacao 1060 7
portoalegre 2854 1
ditaduradatoga 2302 9
jornalismo 1327 1
ultimahora 1446 1
caixa 2785 10
golpe 4517 7
convocatodosprf 4754 5
pormaispapiloscopistaspf 41706 5
acre 2640 16
vote 8872 1
contecomigobolsonaro 1582 9
blacklivesmatter 1771 14
alckmin 3457 7
fato 2531 1
bolsonaristas 2429 1
tôcomlula 2694 7
haddadgovernador13 24110 7
nfl 1488 14
wsl 1870 14
na 1580 1
elasim 1208 3
europe 1449 1
brasilien 3767 1
pt13 2460 7
bolsonaromentiroso 26517 7
cpidomecjá 1640 7
lulaeladrao 1073 9
ceará 1723 1
copacabana 1275 1
elenuncamais 1065 1
jairmessiasbolsonaro 4353 1
policiafederal 11691 5
sófaltaaeconomia 7215 5
bolsomito 8787 9
convocatodospf 5739 5
comitêpopulardigitaldelutatwitter 1063 7
moropresidente2026 1061 14
paraná 2635 14
pl2564 1376 11
sbtnews 1230 14
convocatodospf2021 43458 5
paz 6453 1
caminhoneiro 1099 1
agora 1251 1
haddad 11385 7
no 1111 1
emprego 3304 7
brasília 3519 14
haddadgovernador 5405 7
lula2023 1617 7
lulinha 2697 7
enfermagem 2122 9
redebbb 5921 14
senadofederalvergonhanacional 14497 9
soulula 6696 7
é13 6148 7
eleicoes22 1273 1
stfnãomerepresenta 1030 9
3em1 7382 14
direitaconservadora 8371 9
russia 2733 1
sancionapl2564 1894 11
jovempan 6489 14
lulaabortista 1107 9
para 1881 1
cristao 3481 1
facebook 1114 1
parana 1097 1
empauta 3684 14
eua 2078 1
centro 1066 1
aprende 1918 1
desperta 2756 1
dinheiro 2095 7
adeusbolsonaro 1300 7
pecdasbondades 1224 1
lulanacadeiaatemofar 1007 9
fazoldolula 1476 7
avante 1152 9
elections 1058 1
luladasilva 2588 1
lulalá 7312 7
mensalao 1015 9
eleicões2022 2237 1
jg 1761 14
repostandroid 1211 7
repostw10 1213 7
mdb 2931 7
bolsonarista 1250 1
patriaamadabrasil 1840 9
tbt 11862 7
peace 1418 1
anittalulou 4850 7
bolsonaroassassino 2127 7
lulaeoptunindoobrasil 11567 7
bolsonarismomata 60757 7
uniãobrasil 1396 14
bnb 2275 6
bsc 1729 6
halloween 1095 6
spky 1323 6
spookyshiba 1323 6
distritofederal 1032 1
lulaapoiacrime 14150 9
marceloarrudapresente 2535 7
exercito 1119 1
euavisei 2276 1
lulano1ºturno 198104 7
elassempre 1999 3
elassim 2605 3
elesnão 2278 3
bolsonarodefendebandido 4973 7
pintosawards 1163 7
bolsonaromerepresenta 1240 9
eduardobolsonaro 4046 1
fascismo 2944 9
pe 15506 0
cnnportugal 2922 12
sptv 16427 0
cnnbrasil360 6672 14
cidadealerta 1838 14
evangelicos 3725 1
lavajato 3535 9
acoselva 1377 8
cojae 1369 8
dojae 1346 8
falaportaldaradio 1379 8
artigo142 1966 1
lula22 2083 7
nytimes 2824 14
cubaporlavida 1081 7
parabenspresidentelula 1083 7
ja 1018 1
oglobo 5167 14
fechadoscombolsonaro 6350 9
fé 1220 1
mentiroso 6378 9
deputado 1754 1
aumentodecargosprf 6963 5
faz 3184 12
exercitobrasileiro 5555 1
zambelli 3762 1
lulachefedequadrilha 1532 9
urnas 1625 1
eleccionesbrasil2022 3690 1
ffaa 5840 1
redeglobo 1014 14
bdes 6955 0
bdpr 6843 0
bdrj 21551 0
primeiroimpacto 6070 0
tsevergonhanacional 12723 9
elpaís 1801 14
lemonde 1729 14
segdirs 1272 9
contratacaixa 4341 10
edicao10 1516 14
comunismo 3424 1
sic 2404 14
elenão 2738 1
corruptos 1674 9
voleinosportv 1211 9
manaus 5219 16
brasildecide 3031 1
piaui 1118 1
brasilurgente 1787 14
forças 1022 1
pingosnosis 1184 14
evomorales 2594 13
nicaragua 1820 1
dialogo 2182 1
maranhão 2926 17
lulanoprimeiroturno2022 1439 7
allandossantos 2567 1
lisa 1240 1
governo 3048 1
marielle 2157 7
mulherescombolsonaro 19643 9
evangélico 2414 1
imperatriz 2222 17
gbrasilsdv 4785 9
políticos 2041 1
vemprarualula 1212 9
foraalcolumbre 1393 9
foramaia 1396 9
stflixo 1071 9
corruption 1283 1
bolsonaromiliciano 3324 7
bolsonaroreeleito22 50799 9
bozo 3656 7
saude 1789 1
simone15 4806 3
ditador 2504 9
pm 3711 1
impeachmentfachin 1211 9
impeachmentalexandredemorais 2078 9
bolsonaromito 9719 9
22neles 1495 9
boraganharessejogo 1682 10
larapio 1197 9
lulaarregao 3814 9
conexaoglobonews 1314 14
acorda 1034 1
bolsonaro22reeleito 3824 9
bolsolão 2289 7
debate 8022 1
cidadania 10374 1
lulavergonhanacional 21004 9
mulherescomlula 3908 7
bandnewsfm 5363 14
foraalckmin 1561 1
dubai 2113 1
noticia 1857 1
ukraine 2961 1
cirogomespresidente 3183 3
13elevoltara 2155 7
simboracomlula13 2553 7
tarcisio10 61731 9
matogrosso 1392 1
marciofrancasenador 1206 7
deputadafederal 1040 1
jornaldacnn 1047 14
sergipe 3657 16
sancionabolsonaro 1104 11
up 1112 7
psdb 2289 1
ptbrasil 2405 7
nossabandeirajamaisserávermelha 2224 4
bolsonaroladrão 2015 7
sbtrio 2263 14
encontro 6743 14
hojeemdia 4702 14
jogoaberto 1125 14
maisvoce 5149 14
masterchef 4522 14
teamlh44 4642 14
bolsonaroodeiapobre 5042 7
lulaladrãoseulugarénaprisão 3442 9
lulaekalil 1848 7
lei 1649 7
liberdadedeexpressao 1840 9
juizdefora 1339 7
bbcnews 4276 12
lulaéocara 3033 7
7desetembrovaisergigante 21174 9
camaradeputados 7215 14
diariodepernambuco 5910 14
diariodonordeste 5912 14
estadodeminas 5902 14
uolnews 6851 14
forabolsonaromentiroso 15333 7
gabrielmonteiro 1257 7
sos 1666 1
bolsonaroodeiapobres 23984 7
euconfionobolsonaro 3835 9
justica 1463 1
jaircadavezmaisforte 1091 1
brasileira 1617 1
estamosjuntoscapitao 2347 9
bolsonarocovarde 1947 7
manifestação 1991 1
lulaempernambuco 1675 7
debatecnn 1921 14
7desetembroeuvou 9407 9
edicao18 1163 14
cristãos 4368 3
tseorganizacaocriminosa 7071 9
verdade 1580 1
alexandredemoraes 2006 1
lulaeoptpaixaopelobrasil 3325 7
hugocarvahal 1353 9
efeitolula 1062 7
stfrompeuademocracia 12127 9
62minutos 5379 14
somosbrasil 2251 9
liberdadedeexpressão 1490 9
deusnocomando 1724 9
pesquisas 2583 1
rodrigopachecoconivente 18508 2
carlosbolsonaro 4231 1
rompendoapolarizacao 1381 3
alencarsantanadepfed 1472 7
professorabebeldepsp 1186 7
forabolsonaristas 1047 7
bolsonaropresidente22 112304 9
ptnao 22402 9
terroristas 1061 1
africa 1330 1
forcasarmadas 1293 1
zema 1021 1
basta 1294 1
recordnews 5333 14
spacedomuka 2583 7
reeleito 1028 9
bolsolaodolixo 1709 7
bolsolaodoviagra 6281 7
jr24h 1105 14
midiacomprada 1095 9
felipepresidente 2512 14
foraguedes 1528 7
atenção 6157 1
alexandre 1165 1
freixo40 7935 7
cristo 2521 1
igreja 5334 1
acabou 3222 1
direitabrasil 7792 9
direitaeducadora 6019 9
carlazambelli 2621 9
impunidadenao 1916 1
corrupcao 1827 7
lulaladraoseulugarénaprisao 1356 9
bolsonaroeveryday 3769 9
obrasilacimadetudo 3707 9
futebol 2423 7
domingao 3735 14
lulaéladrão 2613 4
enquete 1236 1
democracy 1527 1
lulacorrupto 12211 9
estoucombolsonaro 4141 9
voude22 2196 9
eleição2022 1564 1
mentira 1428 1
moraes 1266 1
jairbolsonaro22 11723 9
jeronimo13 5304 7
igualdade 1467 7
balançogeralrj 2051 14
g1rio 2077 14
jornalhoje 2491 14
supremoeopovo 6871 9
bolsonaromentiu 2906 7
milícia 2072 9
bolsonarovergonhamundial 3264 7
bolsonarocriminoso 1503 7
naoaguentomaisbolsonaro 2619 7
trabalho 2032 7
pelobemdobrasil 14810 9
censuranao 58101 9
acordapovo 1045 1
foraxandão 1022 1
jornaldamanha 1370 14
supremoéopovo 1488 1
dilma 1364 7
eleicoes2022opovo 2334 1
domingaocomhuck 3747 14
stftemcandidato 4475 9
oab 1292 1
vemprarua 6564 1
البرازيل 2257 1
ब्राज़िल 1172 1
巴西 1923 1
stfpuxadinhodopt 1278 9
divulguem 1045 7
sls 4314 14
bbb23 5396 14
midialixo 1010 9
bolsonarosim 1245 9
tarija 2810 13
santacruz 3190 13
live 1401 1
fascista 2866 9
jairbolsonaroreeleito 9193 9
tarcisiodefreitas 7279 1
americalatina 3190 13
flaviobolsonaro 1750 9
luladescondenado 2499 9
eutocomlula 2221 7
grevegeral 1988 1
ovotonarecord 1427 14
tudocaroculpadobolsonaro 8281 7
governador 1073 1
lulavcsabequeperdeu 1168 9
enem 1671 7
lulaeptnuncamais 2145 9
bolsonaroreeleitonoprimeiroturno22 1730 9
fifa23 1313 9
fe 1152 1
michellebolsonarofingida 1517 7
eeuu 1422 1
nordestino 2114 0
bild 4310 12
tsevergonhamundial 2326 9
foraladrão 1047 9
bolsonaroanticristo 1574 7
censuranão 15494 9
deputadoestadual 1684 1
jerônimo13 9337 7
copadomundo 1172 1
bolsonaroreeleitonoprimeiroturno2022 3550 9
goiania 2158 1
goias 1529 1
saúde 1582 1
tsetemcandidato 1984 9
vaidarpt 3221 7
estoucomlula 5244 7
