ID Appearances
direitabrasil 7792
direitaeducadora 6019
carlazambelli 2621
impunidadenao 1916
corrupcao 1827
lulaladraoseulugarénaprisao 1356
bolsonaroeveryday 3769
obrasilacimadetudo 3707
futebol 2423
domingao 3735
lulaéladrão 2613
enquete 1236
democracy 1527
lulacorrupto 12211
estoucombolsonaro 4141
voude22 2196
eleição2022 1564
mentira 1428
moraes 1266
jairbolsonaro22 11723
jeronimo13 5304
igualdade 1467
balançogeralrj 2051
g1rio 2077
jornalhoje 2491
supremoeopovo 6871
bolsonaromentiu 2906
milícia 2072
bolsonarovergonhamundial 3264
bolsonarocriminoso 1503
naoaguentomaisbolsonaro 2619
trabalho 2032
pelobemdobrasil 14810
censuranao 58101
acordapovo 1045
foraxandão 1022
jornaldamanha 1370
supremoéopovo 1488
dilma 1364
eleicoes2022opovo 2334
domingaocomhuck 3747
stftemcandidato 4475
oab 1292
vemprarua 6564
البرازيل 2257
ब्राज़िल 1172
巴西 1923
stfpuxadinhodopt 1278
divulguem 1045
sls 4314
bbb23 5396
midialixo 1010
bolsonarosim 1245
tarija 2810
santacruz 3190
live 1401
fascista 2866
jairbolsonaroreeleito 9193
tarcisiodefreitas 7279
americalatina 3190
flaviobolsonaro 1750
luladescondenado 2499
eutocomlula 2221
grevegeral 1988
ovotonarecord 1427
tudocaroculpadobolsonaro 8281
governador 1073
lulavcsabequeperdeu 1168
enem 1671
lulaeptnuncamais 2145
bolsonaroreeleitonoprimeiroturno22 1730
fifa23 1313
fe 1152
michellebolsonarofingida 1517
eeuu 1422
nordestino 2114
bild 4310
tsevergonhamundial 2326
foraladrão 1047
bolsonaroanticristo 1574
censuranão 15494
deputadoestadual 1684
jerônimo13 9337
copadomundo 1172
bolsonaroreeleitonoprimeiroturno2022 3550
goiania 2158
goias 1529
saúde 1582
tsetemcandidato 1984
vaidarpt 3221
estoucomlula 5244
bandidobombandidomoro 1540
quaquaqua 1240
vemcomciro 1015
querosofianodebate 19061
vote22 21801
foracorrupto 2183
horadejairembora 1858
françasenador 1328
helenão 1658
prf 1316
criminosos 2673
uber 1031
pilantra 1224
noticiasfalsas 2759
paraiba 1737
pcdob65 1567
simonetebet2022 3776
alexandredemoraesnacadeia 2800
lulaseulugarenaprisao 10829
oea 3409
un 1241
brasilcombolsonaro22 8006
bolsonaroday 1237
pará 1186
eleicao2022 52626
esquerdamaldita 1389
es 15450
psb40 1278
reels 1564
blackpinkxpubgm 1073
eusoubolsonaro22 2672
foraxandao 1158
partidoverde 1208
lulaeoptdemocraciaepaz 14703
stfgolpedeestado 1394
eleccionesbrasil 6417
estadodedireito 2086
бразилия 1382
espiritosanto 1117
todoscontrabolsonaro 4373
reestatizaaeletrobras 8796
brasilvotabolsonaro22 2011
fraudenasurnas 3408
7desetembro 8875
direito 1811
censura 13718
ditadura 2227
censuranunca 1872
forabolsonaroladrão 2984
capitãodopovo 2294
capitaodopovo 41491
brasilnasruas 6723
damaresnacadeia 14195
art142 1075
jovenscombolsonaro 3866
brazilelection 1551
dia7vaisergigante 3089
esquerdadoente 1114
vaisernoprimeiroturno22 2304
ministro 1021
votelula 1005
povonasruas 1707
ptnunca 1195
capitaodopovovaivencerdenovo 32558
israel 2681
fatimagovernadora 1369
lulaemrecife 2259
centraldaseleicoes 6675
b22em2022 3735
oamorvaivenceroódio 3500
segundoturno 6635
lulano1oturno 41637
elecciones 1697
pec32não 2162
stfmilitarjá 5010
brasildaesperança 73162
capitaodopovoquevaivencerdenovo 23862
maranhao 1083
p2e 1076
jairnãoécristão 3594
lulanoprimeiroturno13 28887
centraldaseleições 3645
ocapitaodopovovaivencerdenovo 3892
sionismo 3319
edegarpretto13 3026
corrupcion 3036
soumulherevotobolsonaro 2031
eleccionesenbrasil 1304
negacionismo 1923
bgmanharj 4724
catolicos 2998
voteconsciente 1637
voto22 1124
bolsolulaarregaram 1056
zambellinacadeia 3994
povodedeus 1975
cirogomez 10615
debateseleitorais 2155
lulaarregou 4064
lula13presidente2022 2263
cironaglobonews 1594
lulacovarde 5517
prefirociropresidente12 23965
vaipracuba 1195
haddadprontoprasp 1066
viravoto 28702
parintins 1523
euvoto22 1369
flow 1944
comunismonão 1081
freespeech 1511
assineicartapelademocracia 10836
estadodemocraticodedireitosempre 1007
lulaladrãoseulugarenaprisão 1112
kentucky 1339
ciro12presidente 4954
tarcisio 2239
election 1068
capitaonoprimeiroturno 10596
rockinrio 1218
cartademocracia 1218
abençoe 1302
prefirolula 3066
ptdepontaapontaporamoraobrasil 2111
quemvotaemladrãoécúmplice 2000
uollixo 1082
elmanogovernador13 1337
brasildaesperanca 58642
bolsolao 2995
orcamentosecreto 1114
sãopaulopodemais 2917
debateband 3124
arizona 1248
lulaladraoseulugarénaprisão 21533
domingo 1919
janonesmentiroso 2566
