Label Appearances
bolsonaromelhordomundo 3
sóperguntas 2
setembroescuro 4
setembroescuroclaudio 4
setembroescurolivro 4
setembroescuroprofessorclaudio 4
setembroescurowordpress 4
caradepau 659
simonepresidente 2885
simonetebet 15415
cpidonarcotrafico 778
delatamarcosvalerio 3
bolsonarogenocidaladrãomentirosovagabundo 1
viraliza 56
políciafederal 419
bolsolula 191
farinhadomesmosaco 238
pedaladadobolsonaro 19
pedaladafiscal 30
luladraonaprisao2022 3
livrossim 13
lulaeopteuvocebrasilinteirinho 2069
maisamorbrasil 2
ébahiaébahia 1
truthmatters 54
brasillivre 462
euautorizo 516
cia 869
washington 193
rejeiçao 22
sim 514
maior 402
strangerthings4vol2 35
desgovernomiliciano 3
generalzinhopaumandado 2
ordemdodia 3
joaoromagovernadorba 18
eleicoeslimpas 1918
pdtrs 61
technobladeneverdies 32
bolssonaro22a26 2
foralula 38722
forapt 36827
carlafaloutudo 1
helloprimomusk 1
nulo 273
unicavia 43
bolsonaromeuorgulhoavanteguerreiro 1
brasilénosso 30
bruno 17
domphillip 2
mariele 12
armasnão 35
lulaalckmin2022 133
voto2em1 12
lulahomofobico 1370
lulapreconceituoso 9
elenao 3920
makebrazilgrateagain 2
tucker 12
marcosvalério 18
celsodaniel 1427
lulaladrão 45806
saturdayvibes 29
smackdown 59
faixapresidencial 23
primeiroturno 1668
rampadoplanalto 3
conservadoresnuncamais 3
ptdopcc 23
xandaodopcc 224
lulacomunista 757
lulapcc 525
chefedenação 3
generaisdaditadura 3
lixodahistóriadarepúblicabrasileira 3
páriamundial 5
sistemanacionaldebibliotecas 3
livros 694
salariorosanosedetiene 2
ademocraciavive 1
lulavergonha 22
euconfionasffaas 19
cpidomensalao 1
lulaeoptdestruiraoobrasil 507
strangerthings 169
mercenáriodafé 2
milícias 163
milíciascariocas 2
vecna 6
cpidatoga 85
expressocnn 5296
tarcísiogovernador 32
alckimibandido 2
bolsonarogenocida 14605
justicaparabrunoedom 98
strangerthings4 97
cpidaglobo 3
cpidocrimeorganizadopelopt 414
foracidadania 36
forapcb 92
forapdt 106
foranovo 189
forarede 123
forasolidariedade 36
lulaopovoteodeia 334
delação 17
sallessenadorsp 4
tarcisiogovernadorsp 44901
luladopcc 70
datafake 800
world 2505
ordemeprogresso 935
pazevoadora 1
presidentedeportugal 3
caminhoneiros 9662
estadao 8572
rtp 1863
bolsonarovtnc 37
zéruela 13
bostosauro 35
genocida 4177
naovairolarfachin 1
𝐇𝐚𝐝𝐝𝐚𝐝𝐆𝐨𝐯𝐞𝐫𝐧𝐚𝐝𝐨𝐫𝐒𝐏 12
𝐋𝐔𝐋𝐀𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓𝐄𝟐𝟎𝟐𝟐 12
𝐕𝐚𝐦𝐨𝐬𝐉𝐮𝐧𝐭𝐨𝐬𝐏𝐞𝐥𝐨𝐁𝐫𝐚𝐬𝐢𝐥 12
𝐕𝐢𝐜𝐞𝐧𝐭𝐢𝐧𝐡𝐨 5
𝐚𝐥𝐞𝐧𝐜𝐚𝐫𝐬𝐚𝐧𝐭𝐚𝐧𝐚 12
shutupadele 7
bolsonaroreeleitoemnomedejesus 50
nossabandeirajamaisseravermelha 4920
cade_porra_caminhoneiros 7
compraram 7
jair_odio_nojo_pobre 197
jair_quer_lucro_dollar 7
odio_nojo_jair 7
pagamos 7
povo_trouxa 7
produzo_em_real 7
deniband 124
foravagabundo 590
mec 288
rachadinha 2256
alegria 167
brilha 9
do 2083
estrela 44
uma 696
esperança 1521
forabolsonaros 918
golpedeestado 811
creative 79
game 200
minecraft 11
minecraftbuild 10
minecraftbuilder 10
minecraftbuildings 10
minecraftbuilds 10
minecraftconstruções 10
minecraftcreations 10
minecraftdesigns 10
minecraftonly 10
lavatogaurgente 56
forabolsonarogenocidacorruptomentirosolesapátria 1
lula13presidentenoprimeiroturno 1572
lulaécontrareduziricms 1
ptvotacontrareduziricms 1
lais 2
ufrn 6
nacional 179
sempre 281
earlytreatmentworks 5
hydroxychloroquine 14
ivermectine 19
pfizer 276
parisagreement 259
climatecrisis 877
scotus 58
humanrights 198
renanbandido 5
esquerdalixo 2337
amazonas 4060
