POS|TG|POL:N0|POL:N1
galdério|Adj|HUM:N0|-1|NaN
galhardo|Adj|HUM:N0|1|NaN
galhofeiro|Adj|HUM:N0|0|NaN
gamar|V|HUM:N0:N1|-1|0
ganância|N|HUM:N0|-1|NaN
ganancioso|Adj|HUM:N0|-1|NaN
gandulagem|N|HUM:N0|-1|NaN
gandulo|Adj|HUM:N0|-1|NaN
gangrena|N|HUM:N0|-1|NaN
ganhar|V|HUM:N0:N1|1|-1
ganir|V|HUM:N0|-1|NaN
ganzado|Adj|HUM:N0|-1|NaN
garboso|Adj|HUM:N0|1|NaN
garganeiro|Adj|HUM:N0|-1|NaN
garotice|N|HUM:N0|-1|NaN
garoto|Adj|HUM:N0|-1|NaN
garrido|Adj|HUM:N0|0|NaN
gaseado|Adj|HUM:N0|-1|NaN
gastador|Adj|HUM:N0|-1|NaN
gastar mundos e fundos|IDIOM|HUM:N0|-1|NaN
gasto|Adj|HUM:N0|-1|NaN
gatuno|Adj|HUM:N0|-1|NaN
gaudério|Adj|HUM:N0|-1|NaN
gay|Adj|HUM:N0|0|NaN
gelado|Adj|HUM:N0|-1|NaN
gélido|Adj|HUM:N0|-1|NaN
generalizador|Adj|HUM:N0|0|NaN
generosidade|N|HUM:N0|1|NaN
generoso|Adj|HUM:N0|1|NaN
genial|Adj|HUM:N0|1|NaN
genialidade|N|HUM:N0|1|NaN
génio|Adj|HUM:N0|1|NaN
genioso|Adj|HUM:N0|-1|NaN
gentil|Adj|HUM:N0|1|NaN
gentileza|N|HUM:N0|1|NaN
gentinha|N|HUM:N0|-1|NaN
gentio|Adj|HUM:N0|-1|NaN
genuinidade|N|HUM:N0|1|NaN
genuíno|Adj|HUM:N0|1|NaN
germanófilo|Adj|HUM:N0|0|NaN
germanófobo|Adj|HUM:N0|-1|NaN
gigante|Adj|HUM:N0|0|NaN
gigantesco|Adj|HUM:N0|0|NaN
gingão|Adj|HUM:N0|-1|NaN
glamoroso|Adj|HUM:N0|1|NaN
glamour|N|HUM:N0|1|NaN
glória|N|HUM:N0|1|NaN
glorificado|Adj|HUM:N0|1|NaN
glorioso|Adj|HUM:N0|1|NaN
glutão|Adj|HUM:N0|-1|NaN
goliardo|Adj|HUM:N0|-1|NaN
golpeado|Adj|HUM:N0|-1|NaN
gorado|Adj|HUM:N0|-1|NaN
gordanchudo|Adj|HUM:N0|-1|NaN
gordo|Adj|HUM:N0|-1|NaN
gorducho|Adj|HUM:N0|-1|NaN
gordurento|Adj|HUM:N0|-1|NaN
gorduroso|Adj|HUM:N0|-1|NaN
gostar|V|HUM:N0:N1|0|1
gostável|Adj|HUM:N0|1|NaN
gostoso|Adj|HUM:N0|1|NaN
governado|Adj|HUM:N0|1|NaN
gozador|Adj|HUM:N0|-1|NaN
gozar|V|HUM:N0:N1|1|-1
gozo|N|HUM:N0|-1|NaN
grácil|Adj|HUM:N0|1|NaN
graciosidade|N|HUM:N0|1|NaN
gracioso|Adj|HUM:N0|1|NaN
grafomania|N|HUM:N0|-1|NaN
grafomaníaco|Adj|HUM:N0|-1|NaN
grafómano|Adj|HUM:N0|-1|NaN
grandalhão|Adj|HUM:N0|0|NaN
grandiloquente|Adj|HUM:N0|1|NaN
grandíloquo|Adj|HUM:N0|1|NaN
grandiosidade|N|HUM:N0|1|NaN
grandioso|Adj|HUM:N0|1|NaN
grato|Adj|HUM:N0|1|NaN
grazina|Adj|HUM:N0|-1|NaN
grimpo|Adj|HUM:N0|1|NaN
gringo|Adj|HUM:N0|-1|NaN
gritante|Adj|HUM:N0|-1|NaN
grosseirão|Adj|HUM:N0|-1|NaN
grosseirismo|N|HUM:N0|-1|NaN
grosseiro|Adj|HUM:N0|-1|NaN
grosseria|N|HUM:N0|-1|NaN
grosso|Adj|HUM:N0|-1|NaN
grotesco|Adj|HUM:N0|-1|NaN
grudento|Adj|HUM:N0|-1|NaN
guapo|Adj|HUM:N0|1|NaN
guerra|N|HUM:N0|-1|NaN
guerreiro|Adj|HUM:N0|0|NaN
guicho|Adj|HUM:N0|0|NaN
guloso|Adj|HUM:N0|-1|NaN
hábil|Adj|HUM:N0|0|NaN
habilidade|N|HUM:N0|1|NaN
habilidoso|Adj|HUM:N0|1|NaN
habilitado|Adj|HUM:N0|1|NaN
handicap|N|HUM:N0|-1|NaN
harmonia|N|HUM:N0|1|NaN
harmônico|Adj|HUM:N0|1|NaN
harmónico|Adj|HUM:N0|1|NaN
harmonioso|Adj|HUM:N0|1|NaN
hediondez|N|HUM:N0|-1|NaN
hediondo|Adj|HUM:N0|-1|NaN
hemiplegia|N|HUM:N0|-1|NaN
hercúleo|Adj|HUM:N0|1|NaN
herege|Adj|HUM:N0|-1|NaN
heresia|N|HUM:N0|-1|NaN
herético|Adj|HUM:N0|-1|NaN
hermético|Adj|HUM:N0|-1|NaN
herodiano|Adj|HUM:N0|-1|NaN
heroicidade|N|HUM:N0|1|NaN
heróico|Adj|HUM:N0|1|NaN
heroinomania|N|HUM:N0|-1|NaN
heroinómano|Adj|HUM:N0|-1|NaN
hesitante|Adj|HUM:N0|-1|NaN
heteróclito|Adj|HUM:N0|-1|NaN
heterogéneo|Adj|HUM:N0|-1|NaN
heterogêneo|Adj|HUM:N0|-1|NaN
hidratado|Adj|HUM:N0|0|NaN
hidrófobo|Adj|HUM:N0|-1|NaN
higiénico|Adj|HUM:N0|1|NaN
hílare|Adj|HUM:N0|1|NaN
hilariante|Adj|HUM:N0|0|NaN
hiperactivo|Adj|HUM:N0|-1|NaN
hiperativo|Adj|HUM:N0|-1|NaN
hiperbólico|Adj|HUM:N0|-1|NaN
hiperconservador|Adj|HUM:N0|-1|NaN
hiperconservadorismo|N|HUM:N0|-1|NaN
hipercrítico|Adj|HUM:N0|-1|NaN
hiperculto|Adj|HUM:N0|1|NaN
hiperdotado|Adj|HUM:N0|1|NaN
hipersensibilidade|N|HUM:N0|-1|NaN
hipersensível|Adj|HUM:N0|-1|NaN
hipnotização|N|HUM:N0|-1|NaN
hipnotizado|Adj|HUM:N0|-1|NaN
hipnotizar|V|HUM:N0:N1|-1|-1
hipnotizável|Adj|HUM:N0|-1|NaN
hipocondria|N|HUM:N0|-1|NaN
hipocondríaco|Adj|HUM:N0|-1|NaN
hipocrisia|N|HUM:N0|-1|NaN
hipócrita|Adj|HUM:N0|-1|NaN
hirsuto|Adj|HUM:N0|-1|NaN
hirto|Adj|HUM:N0|0|NaN
histeria|N|HUM:N0|-1|NaN
histérico|Adj|HUM:N0|-1|NaN
histriónico|Adj|HUM:N0|-1|NaN
hodierno|Adj|HUM:N0|1|NaN
homenagear|V|HUM:N0:N1|0|1
homicida|Adj|HUM:N0|-1|NaN
homicídio|N|HUM:N0|-1|NaN
homiziado|Adj|HUM:N0|-1|NaN
homogéneo|Adj|HUM:N0|1|NaN
honestidade|N|HUM:N0|1|NaN
honesto|Adj|HUM:N0|1|NaN
honorabilidade|N|HUM:N0|1|NaN
honorável|Adj|HUM:N0|1|NaN
honra|N|HUM:N0|1|NaN
honradez|N|HUM:N0|1|NaN
honrado|Adj|HUM:N0|1|NaN
honrar a sua palavra|IDIOM|HUM:N0|1|NaN
honrar os seus compromissos|IDIOM|HUM:N0|1|NaN
honrar|V|HUM:N0:N1|1|0
honroso|Adj|HUM:N0|1|NaN
horrendo|Adj|HUM:N0|-1|NaN
horribilidade|N|HUM:N0|-1|NaN
hórrido|Adj|HUM:N0|-1|NaN
horrífico|Adj|HUM:N0|-1|NaN
horripilação|N|HUM:N0|-1|NaN
horripilante|Adj|HUM:N0|-1|NaN
horrível|Adj|HUM:N0|-1|NaN
horror|N|HUM:N0|-1|NaN
horrorizar|V|HUM:N0:N1|-1|0
horroroso|Adj|HUM:N0|-1|NaN
hospitaleiro|Adj|HUM:N0|1|NaN
hospitalidade|N|HUM:N0|1|NaN
hostil|Adj|HUM:N0|-1|NaN
hostilidade|N|HUM:N0|-1|NaN
humanidade|N|HUM:N0|1|NaN
humanista|Adj|HUM:N0|0|NaN
humanitário|Adj|HUM:N0|1|NaN
humano|Adj|HUM:N0|1|NaN
humilde|Adj|HUM:N0|0|NaN
humilhado|Adj|HUM:N0|-1|NaN
humilhar-se|V|HUM:N0|-1|NaN
humilhar|V|HUM:N0:N1|1|-1
ideal|Adj|HUM:N0|1|NaN
idealista|Adj|HUM:N0|0|NaN
idílico|Adj|HUM:N0|0|NaN
idiota|Adj|HUM:N0|-1|NaN
idiotia|N|HUM:N0|-1|NaN
idiotice|N|HUM:N0|-1|NaN
idólatra|Adj|HUM:N0|0|NaN
idolatrado|Adj|HUM:N0|1|NaN
idoneidade|N|HUM:N0|1|NaN
idôneo|Adj|HUM:N0|1|NaN
idóneo|Adj|HUM:N0|1|NaN
idoso|Adj|HUM:N0|0|NaN
ignaro|Adj|HUM:N0|-1|NaN
ignóbil|Adj|HUM:N0|-1|NaN
ignomínia|N|HUM:N0|-1|NaN
ignominioso|Adj|HUM:N0|-1|NaN
ignorado|Adj|HUM:N0|-1|NaN
ignorância|N|HUM:N0|-1|NaN
ignorante|Adj|HUM:N0|-1|NaN
ignorar|V|HUM:N0:N1|0|-1
ignoto|Adj|HUM:N0|-1|NaN
igual|Adj|HUM:N0|0|NaN
igualitário|Adj|HUM:N0|0|NaN
ilegal|Adj|HUM:N0|-1|NaN
ilegítimo|Adj|HUM:N0|-1|NaN
ilegível|Adj|HUM:N0|-1|NaN
ileso|Adj|HUM:N0|1|NaN
iletrado|Adj|HUM:N0|-1|NaN
ilibado|Adj|HUM:N0|1|NaN
ilibar|V|HUM:N0:N1|0|1
iliberal|Adj|HUM:N0|-1|NaN
iliteracia|N|HUM:N0|-1|NaN
iliterato|Adj|HUM:N0|-1|NaN
ilógico|Adj|HUM:N0|-1|NaN
ilogismo|N|HUM:N0|-1|NaN
iludido|Adj|HUM:N0|-1|NaN
iludir|V|HUM:N0:N1|-1|0
iluminado|Adj|HUM:N0|1|NaN
iluminar|V|HUM:N0:N1|1|0
ilusão|N|HUM:N0|-1|NaN
ilusório|Adj|HUM:N0|-1|NaN
ilustrado|Adj|HUM:N0|1|NaN
ilustre|Adj|HUM:N0|1|NaN
imaculabilidade|N|HUM:N0|1|NaN
imaculado|Adj|HUM:N0|1|NaN
imaculável|Adj|HUM:N0|0|NaN
imagético|Adj|HUM:N0|1|NaN
imaginativo|Adj|HUM:N0|0|NaN
imaginoso|Adj|HUM:N0|0|NaN
imaturidade|N|HUM:N0|-1|NaN
imaturo|Adj|HUM:N0|-1|NaN
imbatível|Adj|HUM:N0|1|NaN
imbecil|Adj|HUM:N0|-1|NaN
imbecilidade|N|HUM:N0|-1|NaN
imerecido|Adj|HUM:N0|-1|NaN
imisericordioso|Adj|HUM:N0|-1|NaN
imitador|Adj|HUM:N0|-1|NaN
imitar|V|HUM:N0:N1|-1|0
imitativo|Adj|HUM:N0|-1|NaN
imobilizado|Adj|HUM:N0|-1|NaN
imoderação|N|HUM:N0|-1|NaN
imoderado|Adj|HUM:N0|-1|NaN
imodéstia|N|HUM:N0|-1|NaN
imodesto|Adj|HUM:N0|-1|NaN
imolado|Adj|HUM:N0|1|NaN
imoral|Adj|HUM:N0|-1|NaN
imoralidade|N|HUM:N0|-1|NaN
imorigerado|Adj|HUM:N0|-1|NaN
imortal|Adj|HUM:N0|1|NaN
imortalizado|Adj|HUM:N0|1|NaN
imóvel|Adj|HUM:N0|-1|NaN
impaciente|Adj|HUM:N0|-1|NaN
impagável|Adj|HUM:N0|1|NaN
impante|Adj|HUM:N0|-1|NaN
imparável|Adj|HUM:N0|0|NaN
imparcial|Adj|HUM:N0|1|NaN
impassível|Adj|HUM:N0|0|NaN
impatriota|Adj|HUM:N0|-1|NaN
impávido e sereno|Adj|HUM:N0|0|NaN
impávido|Adj|HUM:N0|1|NaN
impecabilidade|N|HUM:N0|1|NaN
impecável|Adj|HUM:N0|1|NaN
impecunioso|Adj|HUM:N0|-1|NaN
impedido|Adj|HUM:N0|0|NaN
impelido|Adj|HUM:N0|-1|NaN
impenetrável|Adj|HUM:N0|-1|NaN
impenitente|Adj|HUM:N0|-1|NaN
imperceptível|Adj|HUM:N0|-1|NaN
impercetível|Adj|HUM:N0|-1|NaN
imperdoável|Adj|HUM:N0|-1|NaN
imperfeição|N|HUM:N0|-1|NaN
imperfeito|Adj|HUM:N0|-1|NaN
imperial|Adj|HUM:N0|-1|NaN
imperialista|Adj|HUM:N0|-1|NaN
imperiosidade|N|HUM:N0|-1|NaN
imperioso|Adj|HUM:N0|-1|NaN
imperito|Adj|HUM:N0|-1|NaN
impermanência|N|HUM:N0|-1|NaN
impermanente|Adj|HUM:N0|-1|NaN
imperscrutável|Adj|HUM:N0|-1|NaN
impertérrito|Adj|HUM:N0|1|NaN
impertinência|N|HUM:N0|-1|NaN
impertinente|Adj|HUM:N0|-1|NaN
imperturbado|Adj|HUM:N0|1|NaN
imperturbável|Adj|HUM:N0|1|NaN
impessoal|Adj|HUM:N0|-1|NaN
impessoalidade|N|HUM:N0|-1|NaN
impetuosidade|N|HUM:N0|-1|NaN
impetuoso|Adj|HUM:N0|-1|NaN
impiedade|N|HUM:N0|-1|NaN
impiedoso|Adj|HUM:N0|-1|NaN
ímpio|Adj|HUM:N0|-1|NaN
implacável|Adj|HUM:N0|-1|NaN
implantado|Adj|HUM:N0|0|NaN
implicado|Adj|HUM:N0|-1|NaN
implicante|Adj|HUM:N0|-1|NaN
implicativo|Adj|HUM:N0|-1|NaN
implorante|Adj|HUM:N0|0|NaN
implorar|V|HUM:N0:N1|-1|0
implorativo|Adj|HUM:N0|0|NaN
impoluto|Adj|HUM:N0|1|NaN
imponderação|N|HUM:N0|-1|NaN
imponderado|Adj|HUM:N0|-1|NaN
imponente|Adj|HUM:N0|1|NaN
impontual|Adj|HUM:N0|-1|NaN
impontualidade|N|HUM:N0|-1|NaN
impopular|Adj|HUM:N0|-1|NaN
impopularidade|N|HUM:N0|-1|NaN
importunado|Adj|HUM:N0|-1|NaN
importuno|Adj|HUM:N0|-1|NaN
impossível|Adj|HUM:N0|-1|NaN
imposto|Adj|HUM:N0|-1|NaN
impostor|Adj|HUM:N0|-1|NaN
impostura|N|HUM:N0|-1|NaN
impotência|N|HUM:N0|-1|NaN
impotente|Adj|HUM:N0|-1|NaN
imprecisão|N|HUM:N0|-1|NaN
impreciso|Adj|HUM:N0|-1|NaN
impregnado|Adj|HUM:N0|-1|NaN
impreparado|Adj|HUM:N0|-1|NaN
impressionado|Adj|HUM:N0|0|NaN
impressionante|Adj|HUM:N0|0|NaN
impressionar|V|HUM:N0:N1|1|0
impressionável|Adj|HUM:N0|-1|NaN
imprestabilidade|N|HUM:N0|-1|NaN
imprestável|Adj|HUM:N0|-1|NaN
imprevidência|N|HUM:N0|-1|NaN
imprevidente|Adj|HUM:N0|-1|NaN
imprevisível|Adj|HUM:N0|0|NaN
improcedência|N|HUM:N0|-1|NaN
improcedente|Adj|HUM:N0|-1|NaN
improducente|Adj|HUM:N0|-1|NaN
improdutividade|N|HUM:N0|-1|NaN
improdutivo|Adj|HUM:N0|-1|NaN
improvisador|Adj|HUM:N0|0|NaN
imprudência|N|HUM:N0|-1|NaN
imprudente|Adj|HUM:N0|-1|NaN
impudente|Adj|HUM:N0|-1|NaN
impudicícia|N|HUM:N0|-1|NaN
impudico|Adj|HUM:N0|-1|NaN
impugnado|Adj|HUM:N0|-1|NaN
impulsivo|Adj|HUM:N0|-1|NaN
impuro|Adj|HUM:N0|-1|NaN
imputado|Adj|HUM:N0|-1|NaN
imundície|N|HUM:N0|-1|NaN
imundo|Adj|HUM:N0|-1|NaN
imutável|Adj|HUM:N0|0|NaN
inábil|Adj|HUM:N0|-1|NaN
inabilidade|N|HUM:N0|-1|NaN
inabordável|Adj|HUM:N0|-1|NaN
inaceitável|Adj|HUM:N0|-1|NaN
inacessível|Adj|HUM:N0|-1|NaN
inacreditável|Adj|HUM:N0|0|NaN
inactividade|N|HUM:N0|-1|NaN
inactivo|Adj|HUM:N0|-1|NaN
inadaptado|Adj|HUM:N0|-1|NaN
inadequado|Adj|HUM:N0|-1|NaN
inadmissível|Adj|HUM:N0|-1|NaN
inalterado|Adj|HUM:N0|0|NaN
inamovível|Adj|HUM:N0|-1|NaN
inanimação|N|HUM:N0|-1|NaN
inanimado|Adj|HUM:N0|-1|NaN
inânime|Adj|HUM:N0|-1|NaN
inaplicado|Adj|HUM:N0|-1|NaN
inapresentável|Adj|HUM:N0|-1|NaN
inapto|Adj|HUM:N0|-1|NaN
inatacável|Adj|HUM:N0|1|NaN
inatividade|N|HUM:N0|-1|NaN
inativo|Adj|HUM:N0|-1|NaN
inaudito|Adj|HUM:N0|1|NaN
inautenticidade|N|HUM:N0|-1|NaN
inautêntico|Adj|HUM:N0|-1|NaN
incansável|Adj|HUM:N0|1|NaN
incapacidade|N|HUM:N0|-1|NaN
incapaz|Adj|HUM:N0|-1|NaN
incaracterístico|Adj|HUM:N0|-1|NaN
incauto|Adj|HUM:N0|-1|NaN
incendiado|Adj|HUM:N0|-1|NaN
incendiário|Adj|HUM:N0|-1|NaN
incensador|Adj|HUM:N0|-1|NaN
incensurável|Adj|HUM:N0|1|NaN
incerteza|N|HUM:N0|-1|NaN
incerto|Adj|HUM:N0|-1|NaN
inchado|Adj|HUM:N0|-1|NaN
incipiente|Adj|HUM:N0|-1|NaN
incisivo|Adj|HUM:N0|0|NaN
incivil|Adj|HUM:N0|-1|NaN
incivilidade|N|HUM:N0|-1|NaN
incivilizado|Adj|HUM:N0|-1|NaN
inclemência|N|HUM:N0|-1|NaN
inclemente|Adj|HUM:N0|-1|NaN
ínclito|Adj|HUM:N0|1|NaN
incoercível|Adj|HUM:N0|0|NaN
incoerência|N|HUM:N0|-1|NaN
incoerente|Adj|HUM:N0|-1|NaN
incógnito|Adj|HUM:N0|-1|NaN
incólume|Adj|HUM:N0|1|NaN
incomodado|Adj|HUM:N0|-1|NaN
incomodar|V|HUM:N0:N1|1|-1
incomodativo|Adj|HUM:N0|-1|NaN
incomodidade|N|HUM:N0|-1|NaN
incômodo|Adj|HUM:N0|-1|NaN
incómodo|Adj|HUM:N0|-1|NaN
incompetência|N|HUM:N0|-1|NaN
incompetente|Adj|HUM:N0|-1|NaN
incompleto|Adj|HUM:N0|-1|NaN
incompreensibilidade|N|HUM:N0|-1|NaN
incompreensível|Adj|HUM:N0|-1|NaN
incomum|Adj|HUM:N0|0|NaN
inconcebível|Adj|HUM:N0|-1|NaN
inconciliável|Adj|HUM:N0|-1|NaN
inconcluso|Adj|HUM:N0|-1|NaN
inconcusso|Adj|HUM:N0|1|NaN
inconfessável|Adj|HUM:N0|-1|NaN
inconfidente|Adj|HUM:N0|-1|NaN
inconformado|Adj|HUM:N0|0|NaN
inconfundível|Adj|HUM:N0|0|NaN
incongruência|N|HUM:N0|-1|NaN
incongruente|Adj|HUM:N0|-1|NaN
inconsciência|N|HUM:N0|-1|NaN
inconsciente|Adj|HUM:N0|-1|NaN
inconseqüente|Adj|HUM:N0|-1|NaN
inconsequente|Adj|HUM:N0|-1|NaN
inconsiderado|Adj|HUM:N0|-1|NaN
inconsistência|N|HUM:N0|-1|NaN
inconsistente|Adj|HUM:N0|-1|NaN
inconsolado|Adj|HUM:N0|-1|NaN
inconsolável|Adj|HUM:N0|-1|NaN
inconstante|Adj|HUM:N0|-1|NaN
incontestável|Adj|HUM:N0|1|NaN
incontinência|N|HUM:N0|-1|NaN
incontinente|Adj|HUM:N0|-1|NaN
incontrariável|Adj|HUM:N0|-1|NaN
incontrolado|Adj|HUM:N0|-1|NaN
incontroverso|Adj|HUM:N0|1|NaN
inconveniência|N|HUM:N0|-1|NaN
inconveniente|Adj|HUM:N0|-1|NaN
inconversável|Adj|HUM:N0|-1|NaN
incorreção|N|HUM:N0|-1|NaN
incorrecção|N|HUM:N0|-1|NaN
incorrecto|Adj|HUM:N0|-1|NaN
incorreto|Adj|HUM:N0|-1|NaN
incorrigível|Adj|HUM:N0|-1|NaN
incorrupção|N|HUM:N0|1|NaN
incorruptibilidade|N|HUM:N0|1|NaN
incorruptível|Adj|HUM:N0|1|NaN
incorrupto|Adj|HUM:N0|1|NaN
incrédulo|Adj|HUM:N0|0|NaN
incriminar|V|HUM:N0:N1|0|-1
incriticável|Adj|HUM:N0|1|NaN
incrível|Adj|HUM:N0|0|NaN
inculto|Adj|HUM:N0|-1|NaN
incultura|N|HUM:N0|-1|NaN
incumpridor|Adj|HUM:N0|-1|NaN
incurável|Adj|HUM:N0|-1|NaN
indecência|N|HUM:N0|-1|NaN
indecente|Adj|HUM:N0|-1|NaN
indecifrável|Adj|HUM:N0|-1|NaN
indeciso|Adj|HUM:N0|-1|NaN
indecoro|N|HUM:N0|-1|NaN
indecorosidade|N|HUM:N0|-1|NaN
indecoroso|Adj|HUM:N0|-1|NaN
indefectível|Adj|HUM:N0|1|NaN
indefenso|Adj|HUM:N0|-1|NaN
indeferido|Adj|HUM:N0|-1|NaN
indefeso|Adj|HUM:N0|-1|NaN
indefetível|Adj|HUM:N0|1|NaN
indefinido|Adj|HUM:N0|-1|NaN
indelével|Adj|HUM:N0|0|NaN
indelicadeza|N|HUM:N0|-1|NaN
indelicado|Adj|HUM:N0|-1|NaN
indemnizado|Adj|HUM:N0|1|NaN
independente|Adj|HUM:N0|0|NaN
independentista|Adj|HUM:N0|0|NaN
inderrotável|Adj|HUM:N0|1|NaN
inderrubável|Adj|HUM:N0|1|NaN
indescritível|Adj|HUM:N0|0|NaN
indesculpável|Adj|HUM:N0|-1|NaN
indesejado|Adj|HUM:N0|-1|NaN
indesejável|Adj|HUM:N0|-1|NaN
indestituível|Adj|HUM:N0|0|NaN
indestronável|Adj|HUM:N0|0|NaN
indestrutível|Adj|HUM:N0|1|NaN
indeterminado|Adj|HUM:N0|-1|NaN
indiciado|Adj|HUM:N0|-1|NaN
indigente|Adj|HUM:N0|-1|NaN
indigesto|Adj|HUM:N0|-1|NaN
indigitável|Adj|HUM:N0|-1|NaN
indignado|Adj|HUM:N0|-1|NaN
indignidade|N|HUM:N0|-1|NaN
indigno|Adj|HUM:N0|-1|NaN
indirecto|Adj|HUM:N0|-1|NaN
indireto|Adj|HUM:N0|-1|NaN
indisciplina|N|HUM:N0|-1|NaN
indisciplinado|Adj|HUM:N0|-1|NaN
indiscreto|Adj|HUM:N0|-1|NaN
indiscrição|N|HUM:N0|-1|NaN
indiscutível|Adj|HUM:N0|1|NaN
indispensável|Adj|HUM:N0|1|NaN
indisposição|N|HUM:N0|-1|NaN
indisposto|Adj|HUM:N0|-1|NaN
indissociável|Adj|HUM:N0|0|NaN
indistinto|Adj|HUM:N0|-1|NaN
inditoso|Adj|HUM:N0|-1|NaN
individualista|Adj|HUM:N0|-1|NaN
indócil|Adj|HUM:N0|-1|NaN
indocilidade|N|HUM:N0|-1|NaN
indolência|N|HUM:N0|-1|NaN
indolente|Adj|HUM:N0|-1|NaN
indomável|Adj|HUM:N0|0|NaN
indominável|Adj|HUM:N0|-1|NaN
indómito|Adj|HUM:N0|-1|NaN
indubitável|Adj|HUM:N0|1|NaN
indulgente|Adj|HUM:N0|1|NaN
industrioso|Adj|HUM:N0|0|NaN
induzir em erro|IDIOM|HUM:N0|-1|NaN
inebriado|Adj|HUM:N0|-1|NaN
inebriante|Adj|HUM:N0|-1|NaN
inefável|Adj|HUM:N0|-1|NaN
ineficácia|N|HUM:N0|-1|NaN
ineficaz|Adj|HUM:N0|-1|NaN
ineficiência|N|HUM:N0|-1|NaN
ineficiente|Adj|HUM:N0|-1|NaN
inelegível|Adj|HUM:N0|-1|NaN
inelutável|Adj|HUM:N0|1|NaN
inenarrável|Adj|HUM:N0|-1|NaN
inépcia|N|HUM:N0|-1|NaN
inepto|Adj|HUM:N0|-1|NaN
inequívoco|Adj|HUM:N0|1|NaN
inércia|N|HUM:N0|-1|NaN
inerme|Adj|HUM:N0|-1|NaN
inerte|Adj|HUM:N0|-1|NaN
inescrutável|Adj|HUM:N0|-1|NaN
inesgotável|Adj|HUM:N0|1|NaN
inesperado|Adj|HUM:N0|0|NaN
inesquecível|Adj|HUM:N0|0|NaN
inexactidão|N|HUM:N0|-1|NaN
inexacto|Adj|HUM:N0|-1|NaN
inexatidão|N|HUM:N0|-1|NaN
inexato|Adj|HUM:N0|-1|NaN
inexcedível|Adj|HUM:N0|1|NaN
inexorável|Adj|HUM:N0|-1|NaN
inexperiência|N|HUM:N0|-1|NaN
inexperiente|Adj|HUM:N0|-1|NaN
inexperto|Adj|HUM:N0|-1|NaN
inexplicável|Adj|HUM:N0|-1|NaN
inexplícito|Adj|HUM:N0|-1|NaN
inexpressivo|Adj|HUM:N0|-1|NaN
inexprimível|Adj|HUM:N0|-1|NaN
infalível|Adj|HUM:N0|1|NaN
infamado|Adj|HUM:N0|-1|NaN
infamante|Adj|HUM:N0|-1|NaN
infame|Adj|HUM:N0|-1|NaN
infâmia|N|HUM:N0|-1|NaN
infantil|Adj|HUM:N0|-1|NaN
infantilidade|N|HUM:N0|-1|NaN
infatigável|Adj|HUM:N0|1|NaN
infectado|Adj|HUM:N0|-1|NaN
infecundo|Adj|HUM:N0|-1|NaN
infelicidade|N|HUM:N0|-1|NaN
infeliz|Adj|HUM:N0|-1|NaN
infernal|Adj|HUM:N0|-1|NaN
infernizar a vida a|IDIOM|HUM:N0:N1|0|-1
infernizar|V|HUM:N0:N1|1|-1
infértil|Adj|HUM:N0|-1|NaN
infetado|Adj|HUM:N0|-1|NaN
infidelidade|N|HUM:N0|-1|NaN
infiel|Adj|HUM:N0|-1|NaN
inflado|Adj|HUM:N0|-1|NaN
inflamado|Adj|HUM:N0|-1|NaN
inflexibilidade|N|HUM:N0|-1|NaN
inflexível|Adj|HUM:N0|-1|NaN
influenciável|Adj|HUM:N0|-1|NaN
influente|Adj|HUM:N0|1|NaN
infoexcluído|Adj|HUM:N0|-1|NaN
informal|Adj|HUM:N0|0|NaN
informe|Adj|HUM:N0|-1|NaN
infortunado|Adj|HUM:N0|-1|NaN
infortúnio|N|HUM:N0|-1|NaN
infrene|Adj|HUM:N0|-1|NaN
infringir|V|HUM:N0:N1|-1|0
infrutífero|Adj|HUM:N0|-1|NaN
infundado|Adj|HUM:N0|-1|NaN
ingênuo|Adj|HUM:N0|-1|NaN
ingénuo|Adj|HUM:N0|0|NaN
ingratidão|N|HUM:N0|-1|NaN
ingrato|Adj|HUM:N0|-1|NaN
inibido|Adj|HUM:N0|-1|NaN
inibir-se|V|HUM:N0|-1|NaN
inibir|V|HUM:N0:N1|1|-1
inidoneidade|N|HUM:N0|-1|NaN
inidóneo|Adj|HUM:N0|-1|NaN
inigualável|Adj|HUM:N0|0|NaN
inimigo|Adj|HUM:N0|-1|NaN
inimitável|Adj|HUM:N0|0|NaN
ininteligibilidade|N|HUM:N0|-1|NaN
ininteligível|Adj|HUM:N0|-1|NaN
ininterrupto|Adj|HUM:N0|0|NaN
iniquidade|N|HUM:N0|-1|NaN
iníquo|Adj|HUM:N0|-1|NaN
injúria|N|HUM:N0|-1|NaN
injuriado|Adj|HUM:N0|-1|NaN
injuriante|Adj|HUM:N0|-1|NaN
injuriar|V|HUM:N0:N1|-1|0
injurioso|Adj|HUM:N0|-1|NaN
injustiça|N|HUM:N0|-1|NaN
injustiçado|Adj|HUM:N0|0|NaN
injusto|Adj|HUM:N0|-1|NaN
inocente|Adj|HUM:N0|1|NaN
inócuo|Adj|HUM:N0|0|NaN
inofensivo|Adj|HUM:N0|0|NaN
inopinado|Adj|HUM:N0|0|NaN
inoportuno|Adj|HUM:N0|-1|NaN
inóspito|Adj|HUM:N0|-1|NaN
inovação|N|HUM:N0|1|NaN
inovador|Adj|HUM:N0|1|NaN
inqualificação|N|HUM:N0|-1|NaN
