POS|TG|POL:N0|POL:N1
afinado|Adj|HUM:N0|1|NaN
afincado|Adj|HUM:N0|0|NaN
afirmativo|Adj|HUM:N0|1|NaN
aflição|N|HUM:N0|-1|NaN
afligido|Adj|HUM:N0|-1|NaN
afligir-se|V|HUM:N0|-1|NaN
afligir|V|HUM:N0:N1|0|-1
aflitivo|Adj|HUM:N0|-1|NaN
aflito|Adj|HUM:N0|-1|NaN
afobado|Adj|HUM:N0|-1|NaN
afogado|Adj|HUM:N0|-1|NaN
afogar as mágoas|IDIOM|HUM:N0|-1|NaN
afogar-se em pouca água|IDIOM|HUM:N0|-1|NaN
afogar-se|V|HUM:N0|-1|NaN
afogueado|Adj|HUM:N0|0|NaN
afoiteza|N|HUM:N0|1|NaN
afoito|Adj|HUM:N0|1|NaN
afortunado|Adj|HUM:N0|1|NaN
afrancesado|Adj|HUM:N0|0|NaN
afrontado|Adj|HUM:N0|-1|NaN
afrontar|V|HUM:N0:N1|1|-1
afrontoso|Adj|HUM:N0|-1|NaN
afugentar|V|HUM:N0:N1|1|-1
afundado|Adj|HUM:N0|-1|NaN
afundanço|N|HUM:N0|-1|NaN
afundar-se|V|HUM:N0|-1|NaN
afundar|V|HUM:N0:N1|1|-1
agachado|Adj|HUM:N0|-1|NaN
agarotado|Adj|HUM:N0|-1|NaN
agarrado|Adj|HUM:N0|-1|NaN
agarrar a oportunidade com unhas e dentes|IDIOM|HUM:N0|1|NaN
agarrar a oportunidade|IDIOM|HUM:N0|1|NaN
agarrar o touro pelos cornos|IDIOM|HUM:N0|1|NaN
agarrar-se ao poder|IDIOM|HUM:N0|-1|NaN
agasalhado|Adj|HUM:N0|0|NaN
agastadiço|Adj|HUM:N0|-1|NaN
agastado|Adj|HUM:N0|-1|NaN
agastar-se|V|HUM:N0|-1|NaN
ágil|Adj|HUM:N0|1|NaN
agilidade|N|HUM:N0|1|NaN
agiota|Adj|HUM:N0|-1|NaN
agir de boa-fé|IDIOM|HUM:N0|1|NaN
agir de má-fé|IDIOM|HUM:N0|-1|NaN
aglomerado|Adj|HUM:N0|0|NaN
agnóstico|Adj|HUM:N0|0|NaN
agoirento|Adj|HUM:N0|-1|NaN
agonia|N|HUM:N0|-1|NaN
agoniado|Adj|HUM:N0|-1|NaN
agoniante|Adj|HUM:N0|-1|NaN
agoniar|V|HUM:N0:N1|-1|0
agonizante|Adj|HUM:N0|-1|NaN
agoureiro|Adj|HUM:N0|-1|NaN
agourento|Adj|HUM:N0|-1|NaN
agradado|Adj|HUM:N0|1|NaN
agradar|V|HUM:N0:N1|1|0
agradável|Adj|HUM:N0|1|NaN
